vehicle_type,hs_code,sa_sacu_hs8,exporter_hs8,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Motorcycle,871190,87119030,87119000,5,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",MARKS3874,Sweden,South Africa,South Africa,8,2025,5,2025-05,2025-05-03,20250518,20250518,import,1,27138249.07,11937.7,kg,KG,Riddermark Bil AB,,[in full dataset],Bromma,,www.riddermarkbil.se,[in full dataset],Y,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,Riddermark Bil AB,[in full dataset],,17113.4,17113.4,Stockholm,Port Elizabeth,BLOEMFONTEIN,1,1,21.39,MAERSK MOLLER,IMO8715352,SG,V912,842,ZIMU,HBL,CMDU312301608,MSCU645825294,MSCU5284018,20GP,REEFER,GP,FCL,CY/CFS,DHL Global Forwarding,10458.76
Bus / coach,870240,87024085,87024000,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used",MARKS4459,Germany,South Africa,South Africa,6,2025,10,2025-10,2025-10-21,20251020,20251020,import,1,62472469.68,10200.13,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,MAFEGO TRAILERS 4 HIRE (PTY) LTD,[in full dataset],GROBLERSDAL,,,,Y,TRATON SE,[in full dataset],,16677.1,16677.1,Hamburg,Durban,GROBLERSDAL,1,1,20.85,BARZAN,IMO5081630,SG,V795,946,ONEY,MBL,MAEU634351132,ONEY726543053,MSCU4280796,40HC,DRY,GP,FCL,CY/CY,Sinotrans,9404.54
Motorcycle,871130,,8711300090,7,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS7933,United States,South Africa,South Africa,8,2024,8,2024-08,2024-08-13,20240822,20240822,export,1,88526429,23997.5,kg,KG,"Uber Technologies, Inc.",,[in full dataset],San Francisco,,www.uber.com,[in full dataset],Y,VA VROOM VEHICLE REPLACEMENTS (PTY) LTD,[in full dataset],CENTURION,,,,N,"Uber Technologies, Inc.",[in full dataset],,11835.4,11835.4,"Charleston, SC",Ngqura,CENTURION,1,1,14.79,HYUNDAI LOYALTY,IMO1620297,LR,V481,511,HLCU,MBL,COSU736586726,HLCU192057120,BMOU1558180,40HC,FLAT RACK,HC,LCL,CFS/CFS,Expeditors,22139.27
Passenger car,870350,87035027,870350000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS8740,Japan,South Africa,South Africa,5,2024,5,2024-05,2024-05-05,20240511,20240511,export,1,83476238.05,115926.71,kg,KG,"NEXTAGE CO., LTD.",,[in full dataset],NAGOYA,,www.nextage.jp/,[in full dataset],Y,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],N,"NEXTAGE CO., LTD.",[in full dataset],,17907.1,17907.1,Yokohama,Durban,BLOEMFONTEIN,1,1,22.38,OOCL HONG KONG,IMO5332509,SG,V521,407,HMMU,MBL,COSU633459756,MSCU695412743,CAIU6016691,45HC,REEFER,HC,FCL,CFS/CFS,Sinotrans,101070.96
Bus / coach,870220,87022087,870220000,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS9499,Japan,South Africa,South Africa,9,2025,4,2025-04,2025-04-20,20250422,20250422,import,1,39790751.14,144364.67,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,2010 TRAILERS CC,[in full dataset],LENASIA,,,,Y,SUBARU CORPORATION,[in full dataset],,8702.3,8702.3,Tokyo,Cape Town,LENASIA,1,1,10.88,EVER GIVEN,IMO7384723,MH,V466,368,ONEY,MBL,YMLU274532111,MAEU949930428,GESU4003275,20GP,FLAT RACK,RF,FCL,CFS/CFS,Sinotrans,133615.5
Motorcycle,871190,87119090,87119099,7,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",MARKS5570,India,South Africa,South Africa,8,2025,1,2025-01,2025-01-21,20250114,20250114,import,1,138535668.74,13885.54,kg,KG,VE COMMERCIAL VEHICLES LIMITED,,[in full dataset],Gurugram,,www.vecv.in,[in full dataset],Y,WHOLESALE AUTO DISTRIBUTION (PTY) LTD,[in full dataset],DURBAN,,,,Y,VE COMMERCIAL VEHICLES LIMITED,[in full dataset],,16381.4,16381.4,"Mundra, Gujarat",Cape Town,DURBAN,1,1,20.48,ONE APUS,IMO2235927,LR,V166,370,COSU,SWB,MAEU380985509,COSU728071960,TGHU5834257,45HC,TANK,RF,FCL,CY/CY,Nippon Express,12996.72
Goods vehicle (truck),870443,87044320,8704430000,7,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 20,000kg",MARKS3466,United States,South Africa,South Africa,9,2025,3,2025-03,2025-03-08,20250310,20250310,export,1,102845252,18013.27,kg,KG,"Assurant, Inc.",,[in full dataset],Atlanta,,www.assurant.com,[in full dataset],Y,SIYABULELA ELVIS MVANDABA TRAILERS BUILDING CC,[in full dataset],EERSTE RIVER,,,,Y,"Assurant, Inc.",[in full dataset],,16212.4,16212.4,"Savannah, GA",Ngqura,EERSTE RIVER,1,1,20.27,CMA CGM JULES VERNE,IMO1659644,SG,V703,378,HMMU,SWB,YMLU632284250,ONEY882593555,MSCU9338473,40HC,DRY,RF,FCL,CY/CY,DSV,16221.51
Motorcycle,871130,,87113010,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS5710,Germany,South Africa,South Africa,7,2024,9,2024-09,2024-09-13,20240925,20240925,export,1,204152907.56,59498.67,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,CONTINENTAL TRAILERS (PTY) LTD,[in full dataset],CENTURION,,,,Y,TRATON SE,[in full dataset],,11398.5,11398.5,Wilhelmshaven,Cape Town,CENTURION,1,1,14.25,BARZAN,IMO6249984,PA,V167,36,OOLU,HBL,CMDU547736044,HLCU813759926,TCLU4891825,40GP,REEFER,GP,FCL,CFS/CFS,Bollore Logistics,56186.17
Goods vehicle (truck),870431,87043150,87043120,5,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS9255,India,South Africa,South Africa,9,2024,5,2024-05,2024-05-01,20240502,20240502,import,1,121228598.04,22128.15,kg,KG,CHOWGULE INDUSTRIES PRIVATE LIMITED,,[in full dataset],Vasco Da Gama,,www.chowguleindustries.com,[in full dataset],Y,CONTINENTAL TRAILERS (PTY) LTD,[in full dataset],CENTURION,,,,Y,CHOWGULE INDUSTRIES PRIVATE LIMITED,[in full dataset],,12740.1,12740.1,Chennai,Cape Town,CENTURION,1,1,15.93,MSC OSCAR,IMO7310715,SG,V873,785,ZIMU,HBL,ONEY970292788,HLCU649578194,TGHU7553655,40HC,DRY,RF,LCL,CY/CY,Kuehne + Nagel,19459.25
Passenger car,870350,87035027,87035000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS7222,Brazil,South Africa,South Africa,5,2025,4,2025-04,2025-04-04,20250406,20250406,export,1,25759863,19580.84,kg,KG,RODAC BARRA MANSA LTDA,,[in full dataset],BARRA MANSA,,,,Y,J -CAN TRAILERS AND PROJECTS (PTY) LTD,[in full dataset],PROTEA GLEN,,,,N,RODAC BARRA MANSA LTDA,[in full dataset],,9335.5,9335.5,Rio Grande,Ngqura,PROTEA GLEN,1,1,11.67,CSCL GLOBE,IMO1562722,PA,V217,830,HLCU,MBL,YMLU226786280,HLCU164106327,FCIU2947825,20GP,TANK,GP,LCL,CFS/CFS,Nippon Express,17620.75
Goods vehicle (truck),870432,87043290,8704329090,9,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS8199,South Korea,South Africa,South Africa,7,2024,12,2024-12,2024-12-09,20241226,20241226,import,1,12296824.7,21315.09,kg,KG,"K Car Co., Ltd.",,[in full dataset],Seoul,,www.kcar.com,[in full dataset],Y,REMO TRAILERS (PTY) LTD,[in full dataset],DURBANVILLE,,,,Y,"K Car Co., Ltd.",[in full dataset],,3379.4,3379.4,Incheon,Port Elizabeth,DURBANVILLE,1,1,4.22,APL MEXICO CITY,IMO8279494,PA,V338,484,MSCU,MBL,MAEU460189829,YMLU256535222,MSCU2916997,40GP,REEFER,HC,FCL,CY/CY,DSV,19662.71
Bus / coach,870210,87021087,87021019,9,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS8822,Germany,South Africa,South Africa,8,2024,4,2024-04,2024-04-07,20240415,20240415,export,1,233343120.36,51758.03,kg,KG,Auktion & Markt AG,,[in full dataset],Wiesbaden,,www.auktion-markt.de,[in full dataset],Y,AMAZING TRAILERS CC,[in full dataset],AMANZIMTOTI,,,,Y,Auktion & Markt AG,[in full dataset],,15574.5,15574.5,Wilhelmshaven,Durban,AMANZIMTOTI,1,1,19.47,COSCO UNIVERSE,IMO3963762,MH,V643,871,COSU,SWB,COSU652452075,EGLV334684694,TCLU8197921,20GP,TANK,RF,LCL,CY/CFS,DB Schenker,49079.01
Bus / coach,870210,87021090,87021012,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS5099,India,South Africa,South Africa,8,2024,6,2024-06,2024-06-26,20240616,20240616,import,1,104043179.49,543.67,kg,KG,SIVA AUTOMOTIVE TRADING PRIVATE LIMITED,,[in full dataset],Madurai,,,,Y,VENTER LEISURE AND COMMERCIAL TRAILERS LTD,[in full dataset],FLORIDA,,,,Y,SIVA AUTOMOTIVE TRADING PRIVATE LIMITED,[in full dataset],,15553.8,15553.8,Visakhapatnam,Durban,FLORIDA,1,1,19.44,YM WARRANTY,IMO6576028,MH,V523,871,MSCU,SWB,CMDU831017789,COSU179086164,FCIU7348454,20GP,DRY,HC,FCL,CY/CFS,Nippon Express,503.88
Bus / coach,870240,87024087,87024000,9,"Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used",MARKS8383,Germany,South Africa,South Africa,6,2024,3,2024-03,2024-03-09,20240315,20240315,import,1,68948507.27,29441.14,kg,KG,Urlaubs- und Lohnausgleichskasse der Bauwirtschaft,,[in full dataset],Wiesbaden,,www.soka-bau.de,[in full dataset],Y,PHOENIX MARINE MANUFACTURING (PTY) LTD,[in full dataset],DASSENBERG,,www.phoenixcatamarans.com,[in full dataset],Y,Urlaubs- und Lohnausgleichskasse der Bauwirtschaft,[in full dataset],,24291.3,24291.3,Wilhelmshaven,Ngqura,DASSENBERG,1,1,30.36,HYUNDAI LOYALTY,IMO1957526,SG,V398,327,ZIMU,HBL,ONEY735180996,CMDU276085876,TCLU8392618,45HC,REEFER,HC,FCL,CY/CFS,DB Schenker,28021.07
Motorcycle,871130,,871130000,6,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS7150,Japan,South Africa,South Africa,9,2024,9,2024-09,2024-09-27,20240922,20240922,export,1,76313707.16,76762.92,kg,KG,"TACHI-S CO.,LTD.",,[in full dataset],OME,,www.tachi-s.co.jp/,[in full dataset],Y,BONGS TRAILERS (PTY) LTD,[in full dataset],EASTERN CAPE,,,,N,"TACHI-S CO.,LTD.",[in full dataset],,8788,8788,Nagoya,Cape Town,EASTERN CAPE,1,1,10.98,BARZAN,IMO7036557,LR,V383,635,YMLU,SWB,MSCU789193186,YMLU722945375,GESU4369326,45HC,TANK,GP,FCL,CFS/CFS,Expeditors,68683.63
Passenger car,870350,87035027,8703505210,8,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS2148,China,South Africa,South Africa,7,2024,2,2024-02,2024-02-22,20240217,20240217,import,1,104582441.49,213.17,kg,KG,"SAIC GM Wuling Automobile Co., Ltd.",,[in full dataset],Liuzhou,,www.sgmw.com.cn,[in full dataset],Y,POWER TRAILERS CC,[in full dataset],KUILS RIVER,,,,N,"SAIC GM Wuling Automobile Co., Ltd.",[in full dataset],,4917.3,4917.3,Shanghai,Ngqura,KUILS RIVER,1,1,6.15,OOCL HONG KONG,IMO7361988,LR,V618,671,CMDU,HBL,EGLV210853154,EGLV161250063,BMOU6045638,40GP,DRY,HC,FCL,CFS/CFS,Kuehne + Nagel,200
Motorcycle,871110,,87111090,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS5611,India,South Africa,South Africa,7,2025,7,2025-07,2025-07-12,20250716,20250716,import,1,174434082.38,1676.79,kg,KG,POPULAR VEHICLES & SERVICES SHOWROOM,,[in full dataset],Chennai,,www.popularv.com,[in full dataset],Y,FISHEAGLE CAMPERS AND TRAILERS CC,,,,,,Y,POPULAR VEHICLES & SERVICES SHOWROOM,,,13883.8,13883.8,Chennai,Cape Town,,1,1,17.35,MSC GULSUN,IMO7277130,MH,V747,690,APLU,MBL,MAEU308106302,ONEY125055397,TGHU6856307,40GP,FLAT RACK,HC,LCL,CY/CFS,Sinotrans,1489.41
Motorcycle,871130,,871130000,6,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS8807,Japan,South Africa,South Africa,9,2024,12,2024-12,2024-12-01,20241215,20241215,export,1,95872530.24,34347.84,kg,KG,"NEXTAGE CO., LTD.",,[in full dataset],NAGOYA,,www.nextage.jp/,[in full dataset],Y,BP AND NS TRADING (PTY) LTD,[in full dataset],TEMBISA,,,,Y,"NEXTAGE CO., LTD.",[in full dataset],,11730.3,11730.3,Osaka,Port Elizabeth,TEMBISA,1,1,14.66,EVER ACME,IMO7278071,MH,V324,956,MAEU,SWB,COSU753597503,ONEY749042718,TCLU3050584,20GP,TANK,HC,LCL,CFS/CFS,Yusen Logistics,31832.07
Goods vehicle (truck),870441,87044183,8704419100,5,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motor as motor for propulsion, unassembled as in section 14, (gvw not exceeding 5000kg), for the transport of goods, vans",MARKS7665,United Kingdom,South Africa,South Africa,6,2024,5,2024-05,2024-05-09,20240505,20240505,export,1,18745553.09,53535.1,kg,KG,MERCEDES-BENZ UK LIMITED,,[in full dataset],MILTON KEYNES,,www.mercedes-benz.co.uk,[in full dataset],Y,KMSA DISTRIBUTORS (PTY) LTD,[in full dataset],BRAMLEY,,www.kawasakisa.co.za,[in full dataset],Y,MERCEDES-BENZ UK LIMITED,[in full dataset],,22027.2,22027.2,London Gateway,Cape Town,BRAMLEY,1,1,27.53,BARZAN,IMO5896394,LR,V815,695,HMMU,SWB,HLCU811556723,MSCU344982997,FCIU9328456,40GP,OPEN TOP,RF,FCL,CFS/CFS,Nippon Express,47039.58
Passenger car,870323,87032390,87032310,5,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",MARKS2933,India,South Africa,South Africa,6,2025,6,2025-06,2025-06-18,20250605,20250605,import,1,139345687.45,17126.25,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,TOP MOBILE KITCHEN TRAILERS (PTY) LTD,[in full dataset],PRETORIA,,www.topmobilekitchentrailers.co.za,[in full dataset],N,MARUTI SUZUKI INDIA LIMITED,[in full dataset],,8353.3,8353.3,"Mundra, Gujarat",Cape Town,PRETORIA,1,1,10.44,MADRID MAERSK,IMO2520003,SG,V168,620,OOLU,HBL,HLCU653092670,YMLU646601395,FCIU4328344,40HC,DRY,RF,LCL,CY/CFS,Sinotrans,15002.08
Passenger car,870332,87033227,8703322210,9,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",MARKS4416,China,South Africa,South Africa,6,2025,3,2025-03,2025-03-23,20250309,20250309,import,1,135099309,386507.93,kg,KG,"HuaYu Automotive Systems Co.,Ltd",,[in full dataset],Shanghai,,www.hasco-group.com,[in full dataset],Y,ENGELBRECHT TRAILERS MARKETING CC,[in full dataset],CARLETONVILLE,,,,Y,"HuaYu Automotive Systems Co.,Ltd",[in full dataset],,796.5,796.5,Shanghai,Ngqura,CARLETONVILLE,1,1,1,MAERSK MOLLER,IMO3422033,PA,V171,577,APLU,MBL,MAEU874094982,HLCU492011956,GESU7207832,45HC,REEFER,RF,FCL,CY/CY,DB Schenker,353567.15
Bus / coach,870210,87021087,87021091,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS5162,Germany,South Africa,South Africa,6,2025,7,2025-07,2025-07-20,20250726,20250726,export,1,273834861,22864.56,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],N,BARKLY OOS MOTORS CC,[in full dataset],BLOEMFONTEIN,,,,Y,AUMOVIO SE,[in full dataset],,14849.4,14849.4,Hamburg,Cape Town,BLOEMFONTEIN,1,1,18.56,MSC GULSUN,IMO8090528,MH,V726,705,COSU,HBL,CMDU451198130,MSCU763767055,BMOU5630304,40GP,TANK,RF,LCL,CFS/CFS,Nippon Express,20922.31
Bus / coach,870230,87023087,87023010,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS4653,Germany,South Africa,South Africa,7,2025,7,2025-07,2025-07-23,20250709,20250709,import,1,91510253.49,59297.15,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,2010 TRAILERS CC,[in full dataset],LENASIA,,,,Y,TRATON SE,[in full dataset],,18277.3,18277.3,Bremerhaven,Port Elizabeth,LENASIA,1,1,22.85,MSC GULSUN,IMO6958795,PA,V926,360,APLU,SWB,YMLU122142138,ONEY970828382,BMOU5605459,40HC,TANK,GP,FCL,CY/CFS,DHL Global Forwarding,52354.98
Passenger car,870380,87038090,8703801010,7,Vehicles; with only electric motor for propulsion,MARKS5570,China,South Africa,South Africa,7,2024,11,2024-11,2024-11-15,20241103,20241103,export,1,197148390,6308.44,kg,KG,"Guangzhou Automobile Group Co., Ltd.",,[in full dataset],Guangzhou,,www.gac.com.cn,[in full dataset],Y,MOUNT CURRIE TRACTORS CC,[in full dataset],KOKSTAD,,www.stihl.co.za,[in full dataset],Y,"Guangzhou Automobile Group Co., Ltd.",[in full dataset],,24517.6,24517.6,Tianjin,Port Elizabeth,KOKSTAD,1,1,30.65,COSCO UNIVERSE,IMO1731135,LR,V645,135,COSU,MBL,COSU199063618,MAEU232100778,TCLU7402726,20GP,OPEN TOP,RF,LCL,CFS/CFS,Yusen Logistics,5516.47
Motorcycle,871110,,8711100000,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS2490,United States,South Africa,South Africa,5,2025,12,2025-12,2025-12-21,20251212,20251212,export,1,94332250,55925.35,kg,KG,"AutoNation, Inc.",,[in full dataset],Fort Lauderdale,,www.autonation.com,[in full dataset],N,ERMELO COMMERCIAL VEHICLES (PTY) LTD,[in full dataset],ERMELO,,www.ettc.co.za,[in full dataset],Y,"AutoNation, Inc.",[in full dataset],,22082.8,22082.8,"Norfolk, VA",Ngqura,ERMELO,1,1,27.6,COSCO UNIVERSE,IMO5383686,SG,V425,324,APLU,SWB,EGLV951108300,ONEY185082601,TGHU2808402,40HC,TANK,HC,LCL,CY/CY,Expeditors,51505.42
Motorcycle,871150,,87115000,9,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with internal combustion piston engine of a cylinder capacity exceeding 800cc, with or without side-cars; side-cars",MARKS6849,India,South Africa,South Africa,9,2024,12,2024-12,2024-12-24,20241201,20241201,import,1,172022778.14,4481.9,kg,KG,PL HAULWEL TRAILERS LIMITED,,[in full dataset],Chennai,,www.haulwel.com,[in full dataset],Y,KEI BODIES (PTY) LTD,[in full dataset],QUEENSTOWN,,,,Y,PL HAULWEL TRAILERS LIMITED,[in full dataset],,3591.7,3591.7,Chennai,Durban,QUEENSTOWN,1,1,4.49,MOL TRIUMPH,IMO7964605,SG,V813,352,MAEU,MBL,COSU572364704,ONEY582777425,GESU4460956,45HC,FLAT RACK,GP,LCL,CY/CY,CEVA Logistics,4152.76
Passenger car,870390,87039025,87039000,9,Vehicles; for transport of persons (other than those of heading no. 8702) n.e.c. in heading no. 8703,MARKS6200,Germany,South Africa,South Africa,7,2024,5,2024-05,2024-05-19,20240513,20240513,export,1,210645396.46,8391.65,kg,KG,HUK-COBURG-Allgemeine Versicherung AG,,[in full dataset],Coburg,,www.huk.de,[in full dataset],N,A3 TRAILERS CC,[in full dataset],KROONSTAD,,,,Y,HUK-COBURG-Allgemeine Versicherung AG,[in full dataset],,15191.6,15191.6,Wilhelmshaven,Ngqura,KROONSTAD,1,1,18.99,YM WARRANTY,IMO9938704,SG,V890,719,APLU,HBL,EGLV571093205,CMDU976680263,FCIU3776977,45HC,REEFER,RF,FCL,CY/CFS,Bollore Logistics,7884.66
Bus / coach,870220,87022081,87022010,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS8061,Germany,South Africa,South Africa,5,2024,12,2024-12,2024-12-18,20241202,20241202,export,1,172077706.87,4630.59,kg,KG,Zusatzversorgungskasse des Baugewerbes AG (ZVK),,[in full dataset],Wiesbaden,,www.soka-bau.de,[in full dataset],Y,ELDORADO TRAILERS (PTY) LTD,[in full dataset],GAUTENG,,,,Y,Zusatzversorgungskasse des Baugewerbes AG (ZVK),[in full dataset],,24677.3,24677.3,Hamburg,Durban,GAUTENG,1,1,30.85,MOL TRIUMPH,IMO1902172,LR,V752,790,ZIMU,SWB,CMDU351446394,CMDU605583300,TGHU7183795,20GP,TANK,RF,FCL,CFS/CFS,Bollore Logistics,4316.25
Goods vehicle (truck),870460,87046005,,5,Vehicles; with only electric motor for propulsion,MARKS9773,India,South Africa,South Africa,6,2025,5,2025-05,2025-05-18,20250503,20250503,import,1,151263211,146473.88,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,ANDILE TRAILERS (PTY) LTD,[in full dataset],STRAND,,,,Y,MARUTI SUZUKI INDIA LIMITED,[in full dataset],,10759.7,10759.7,"Mundra, Gujarat",Cape Town,STRAND,1,1,13.45,HMM ALGECIRAS,IMO6224913,LR,V794,209,HLCU,SWB,YMLU689602720,COSU990993117,CAIU5696887,40HC,DRY,HC,FCL,CY/CY,DHL Global Forwarding,139264.46
Motorcycle,871190,87119020,87119001,8,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",MARKS4860,Australia,South Africa,South Africa,6,2025,8,2025-08,2025-08-23,20250807,20250807,import,1,1254073.21,16526.31,kg,KG,AP INTERNATIONAL HOLDINGS PTY LTD,,[in full dataset],MELBOURNE,,,,Y,ZOOM ZOOM TRAILERS CC,[in full dataset],WITBANK,,,,Y,AP INTERNATIONAL HOLDINGS PTY LTD,[in full dataset],,7553.1,7553.1,Brisbane,Port Elizabeth,WITBANK,1,1,9.44,MOL TRIUMPH,IMO6536411,PA,V635,756,APLU,MBL,YMLU526767625,ONEY186555439,MSCU2630834,40HC,REEFER,GP,LCL,CY/CFS,Expeditors,15220.24
Passenger car,870323,87032325,87032311,7,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",MARKS7801,Netherlands,South Africa,South Africa,5,2024,10,2024-10,2024-10-13,20241023,20241023,import,1,15391793.17,56697.64,kg,KG,Ingka Capital B.V.,,[in full dataset],Leiden,,,,Y,CKT TRAILERS AND 24X7 BREAKDOWN REPAIRS CC,[in full dataset],JOHANNESBURG,,www.ckttrailers.co.za,[in full dataset],Y,Ingka Capital B.V.,[in full dataset],,22305.6,22305.6,Rotterdam,Ngqura,JOHANNESBURG,1,1,27.88,COSCO UNIVERSE,IMO3689558,MH,V822,207,COSU,MBL,COSU786559095,YMLU110755185,FCIU9785556,20GP,DRY,RF,LCL,CFS/CFS,DSV,50780.53
Bus / coach,870210,87021081,87021091,8,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS9123,India,South Africa,South Africa,7,2024,6,2024-06,2024-06-16,20240627,20240627,import,1,104043179.49,9814.36,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,MORGANS TRAILERS (PTY) LTD,[in full dataset],BEAUFORT WEST,,,,Y,MARUTI SUZUKI INDIA LIMITED,[in full dataset],,2615.6,2615.6,Tuticorin,Cape Town,BEAUFORT WEST,1,1,3.27,COSCO UNIVERSE,IMO1947768,SG,V497,318,OOLU,MBL,HLCU659296204,MSCU894347690,TGHU3927822,20GP,TANK,GP,FCL,CY/CFS,CEVA Logistics,9106.13
Goods vehicle (truck),870431,87043175,8704310000,9,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS3773,China,South Africa,South Africa,7,2024,10,2024-10,2024-10-25,20241011,20241011,import,1,161759648.06,4503.04,kg,KG,"Rong Cheng Compaks New Energy Automobile Co., Ltd.",,[in full dataset],Weihai,,compaksrv.com,[in full dataset],Y,OMARS CYCLES WHOLESALERS (PTY) LTD,[in full dataset],JOHANNESBURG,,,,Y,"Rong Cheng Compaks New Energy Automobile Co., Ltd.",[in full dataset],,7268.1,7268.1,Xiamen,Ngqura,JOHANNESBURG,1,1,9.09,MSC OSCAR,IMO8724438,MH,V533,902,MAEU,MBL,CMDU547331327,MSCU894106824,TCLU8519026,20GP,OPEN TOP,GP,FCL,CY/CY,Expeditors,4116.81
